A15+1 B12+2 C1+3 D1+4 I1+5 F1+6 J1+7 1 --
A16+1 B10+2 C2+3 D1+4 I1+5 F1+6 J1+7 2 --
A17+1 B8+2 C3+3 D1+4 I1+5 F1+6 J1+7 3 --
A17+1 B9+2 C2+4 D1+3 I1+5 F1+6 J1+7 4 --
A18+1 B6+2 C4+3 D1+4 I1+5 F1+6 J1+7 5 --
A18+1 B7+2 C2+3 D2+4 I1+5 F1+6 J1+7 6 --
A18+1 B8+2 C2+5 D1+3 I1+4 F1+6 J1+7 7 --
A19+1 B5+2 C3+3 D2+4 I1+5 F1+6 J1+7 8 --
A19+1 B5+3 C4+2 D1+4 I1+5 F1+6 J1+7 9 --
A19+1 B6+2 C2+3 D2+5 I1+4 F1+6 J1+7 10 --
A19+1 B6+2 C3+4 D1+3 I1+5 F1+6 J1+7 11 --
A19+1 B7+2 C2+6 D1+3 I1+4 F1+5 J1+7 12 --
A20+1 B4+2 C3+3 D2+5 I1+4 F1+6 J1+7 13 --
A20+1 B4+2 C3+4 D2+3 I1+5 F1+6 J1+7 14 --
A20+1 B4+3 C3+2 D2+4 I1+5 F1+6 J1+7 15 --
A20+1 B5+2 C2+3 D2+6 I1+4 F1+5 J1+7 16 --
A20+1 B5+2 C2+4 D2+5 I1+3 F1+6 J1+7 17 --
A20+1 B6+2 C2+7 D1+3 I1+4 F1+5 J1+6 18 --
A20+1 B6+3 C2+2 D1+4 I1+5 F1+6 J1+7 19 --
A21+1 B3+2 C2+3 D2+4 I2+5 F1+6 J1+7 20 --
A21+1 B3+2 C3+3 D2+6 I1+4 F1+5 J1+7 21 --
A21+1 B3+3 C3+4 D2+2 I1+5 F1+6 J1+7 22 --
A21+1 B4+2 C2+3 D2+7 I1+4 F1+5 J1+6 23 --
A21+1 B4+2 C2+4 D2+6 I1+3 F1+5 J1+7 24 --
A21+1 B4+3 C2+2 D2+5 I1+4 F1+6 J1+7 25 --
A21+1 B4+2 C3+5 D1+3 I1+4 F1+6 J1+7 26 --
A21+1 B4+4 C3+2 D1+3 I1+5 F1+6 J1+7 27 --
A21+1 B5+3 C2+4 D1+2 I1+5 F1+6 J1+7 28 --
A22+1 B2+2 C2+3 D2+4 I2+6 F1+5 J1+7 29 --
A22+1 B3+2 C2+4 D2+7 I1+3 F1+5 J1+6 30 --
A22+1 B3+2 C2+5 D2+6 I1+3 F1+4 J1+7 31 --
A22+1 B3+3 C2+2 D2+7 I1+4 F1+5 J1+6 32 --
A22+1 B3+3 C2+4 D2+5 I1+2 F1+6 J1+7 33 --
A22+1 B3+4 C2+2 D2+5 I1+3 F1+6 J1+7 34 --
A22+1 B3+5 C2+2 D2+3 I1+4 F1+6 J1+7 35 --
A22+1 B4+3 C2+6 D1+2 I1+4 F1+5 J1+7 36 --
A22+1 B4+4 C2+3 D1+2 I1+5 F1+6 J1+7 37 --
A23+1 B2+2 C2+5 D2+7 I1+3 F1+4 J1+6 38 --
A23+1 B2+3 C2+4 D2+7 I1+2 F1+5 J1+6 39 --
A23+1 B2+3 C2+5 D2+6 I1+2 F1+4 J1+7 40 --
A23+1 B3+4 C2+6 D1+2 I1+3 F1+5 J1+7 41 --
A23+1 B3+5 C2+4 D1+2 I1+3 F1+6 J1+7 42 --
A23+1 B3+6 C2+2 D1+3 I1+4 F1+5 J1+7 43 --
A24+1 B2+6 C2+7 D1+2 I1+3 F1+4 J1+5 44 --
